text,entities
"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[]
"Responsible for designing, developing, and maintaining solutions. Works with Agile, Google Cloud, Routing & Switching, PyTorch, JavaScript to improve system efficiency and functionality. Expected to have experience in Microservices, Penetration Testing, Ansible, Rust, NoSQL.","[{'start': 77, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 96, 'label': 'SKILL'}, {'start': 98, 'end': 117, 'label': 'SKILL'}, {'start': 119, 'end': 126, 'label': 'SKILL'}, {'start': 128, 'end': 138, 'label': 'SKILL'}, {'start': 218, 'end': 231, 'label': 'SKILL'}, {'start': 233, 'end': 252, 'label': 'SKILL'}, {'start': 254, 'end': 261, 'label': 'SKILL'}, {'start': 263, 'end': 267, 'label': 'SKILL'}, {'start': 269, 'end': 274, 'label': 'SKILL'}]"
"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","[{'start': 30, 'end': 33, 'label': 'SKILL'}, {'start': 218, 'end': 221, 'label': 'SKILL'}, {'start': 229, 'end': 239, 'label': 'SKILL'}, {'start': 260, 'end': 263, 'label': 'SKILL'}]"
"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",[]
"Responsible for designing and developing innovative IT solutions. Works with Ruby, MLOps, BigQuery, Data Cleaning, Firewalls to ensure efficiency, security, and performance. Expected to have experience in Terraform, Data Visualization, Scikit-learn.","[{'start': 77, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 88, 'label': 'SKILL'}, {'start': 90, 'end': 98, 'label': 'SKILL'}, {'start': 100, 'end': 113, 'label': 'SKILL'}, {'start': 115, 'end': 124, 'label': 'SKILL'}, {'start': 205, 'end': 214, 'label': 'SKILL'}, {'start': 216, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 248, 'label': 'SKILL'}]"
"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support","[{'start': 182, 'end': 195, 'label': 'SKILL'}]"
"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","[{'start': 69, 'end': 71, 'label': 'SKILL'}]"
"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting",[]
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",[]
"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",[]
"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",[]
"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",[]
"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation","[{'start': 68, 'end': 71, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with Wireless Security, ETL, Docker, Firewalls, Python to improve system efficiency and functionality. Expected to have experience in Java, CI/CD, BigQuery, Reinforcement Learning.","[{'start': 77, 'end': 94, 'label': 'SKILL'}, {'start': 96, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 107, 'label': 'SKILL'}, {'start': 109, 'end': 118, 'label': 'SKILL'}, {'start': 120, 'end': 126, 'label': 'SKILL'}, {'start': 206, 'end': 210, 'label': 'SKILL'}, {'start': 212, 'end': 217, 'label': 'SKILL'}, {'start': 219, 'end': 227, 'label': 'SKILL'}, {'start': 229, 'end': 251, 'label': 'SKILL'}]"
"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




","[{'start': 4, 'end': 5, 'label': 'SKILL'}, {'start': 18, 'end': 19, 'label': 'SKILL'}, {'start': 23, 'end': 24, 'label': 'SKILL'}, {'start': 28, 'end': 29, 'label': 'SKILL'}, {'start': 30, 'end': 31, 'label': 'SKILL'}, {'start': 60, 'end': 61, 'label': 'SKILL'}, {'start': 77, 'end': 78, 'label': 'SKILL'}, {'start': 81, 'end': 82, 'label': 'SKILL'}, {'start': 84, 'end': 85, 'label': 'SKILL'}, {'start': 87, 'end': 88, 'label': 'SKILL'}, {'start': 109, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 113, 'label': 'SKILL'}, {'start': 115, 'end': 116, 'label': 'SKILL'}, {'start': 120, 'end': 121, 'label': 'SKILL'}, {'start': 124, 'end': 125, 'label': 'SKILL'}, {'start': 135, 'end': 136, 'label': 'SKILL'}, {'start': 141, 'end': 142, 'label': 'SKILL'}, {'start': 157, 'end': 158, 'label': 'SKILL'}, {'start': 158, 'end': 159, 'label': 'SKILL'}, {'start': 160, 'end': 161, 'label': 'SKILL'}, {'start': 164, 'end': 165, 'label': 'SKILL'}, {'start': 176, 'end': 177, 'label': 'SKILL'}]"
"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",[]
"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",[]
"Technical Support
Troubleshooting
Collaboration
Documentation
System Monitoring
Software Deployment
Training & Mentorship
Industry Trends
Field Visits




",[]
"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",[]
"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",[]
"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","[{'start': 37, 'end': 38, 'label': 'SKILL'}, {'start': 63, 'end': 64, 'label': 'SKILL'}, {'start': 74, 'end': 75, 'label': 'SKILL'}, {'start': 109, 'end': 110, 'label': 'SKILL'}, {'start': 161, 'end': 162, 'label': 'SKILL'}, {'start': 166, 'end': 167, 'label': 'SKILL'}, {'start': 186, 'end': 187, 'label': 'SKILL'}, {'start': 201, 'end': 202, 'label': 'SKILL'}, {'start': 204, 'end': 205, 'label': 'SKILL'}, {'start': 224, 'end': 225, 'label': 'SKILL'}, {'start': 227, 'end': 228, 'label': 'SKILL'}, {'start': 235, 'end': 236, 'label': 'SKILL'}, {'start': 266, 'end': 267, 'label': 'SKILL'}, {'start': 269, 'end': 270, 'label': 'SKILL'}, {'start': 271, 'end': 272, 'label': 'SKILL'}, {'start': 302, 'end': 303, 'label': 'SKILL'}, {'start': 333, 'end': 334, 'label': 'SKILL'}, {'start': 341, 'end': 342, 'label': 'SKILL'}]"
"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",[]
"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",[]
"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",[]
"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[]
"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration","[{'start': 159, 'end': 167, 'label': 'SKILL'}]"
"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking","[{'start': 118, 'end': 123, 'label': 'SKILL'}]"
"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",[]
"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","[{'start': 0, 'end': 16, 'label': 'SKILL'}]"
"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",[]
"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration","[{'start': 20, 'end': 28, 'label': 'SKILL'}]"
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",[]
"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",[]
"Hardware & Software Installation
System Monitoring
IT Support
Networking Expertise
Mail Server Administration
Security Management
Troubleshooting & Repair
Operations Support",[]
"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",[]
"Responsible for designing, developing, and maintaining solutions. Works with TensorFlow, ETL, SCRUM, JavaScript, Microservices to improve system efficiency and functionality. Expected to have experience in MLOps, Java, Reinforcement Learning.","[{'start': 77, 'end': 87, 'label': 'SKILL'}, {'start': 89, 'end': 92, 'label': 'SKILL'}, {'start': 94, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 111, 'label': 'SKILL'}, {'start': 101, 'end': 105, 'label': 'SKILL'}, {'start': 113, 'end': 126, 'label': 'SKILL'}, {'start': 206, 'end': 211, 'label': 'SKILL'}, {'start': 213, 'end': 217, 'label': 'SKILL'}, {'start': 219, 'end': 241, 'label': 'SKILL'}]"
"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","[{'start': 340, 'end': 355, 'label': 'SKILL'}]"
"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[]
"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",[]
"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",[]
"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",[]
"Responsible for developing and optimizing advanced IT solutions. Works with Ruby, Microservices, Penetration Testing, Network Monitoring, Azure to ensure innovation, security, and efficiency. Expected to have experience in Routing & Switching, PyTorch, Firewalls, Scikit-learn.","[{'start': 76, 'end': 80, 'label': 'SKILL'}, {'start': 82, 'end': 95, 'label': 'SKILL'}, {'start': 97, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 136, 'label': 'SKILL'}, {'start': 138, 'end': 143, 'label': 'SKILL'}, {'start': 223, 'end': 242, 'label': 'SKILL'}, {'start': 244, 'end': 251, 'label': 'SKILL'}, {'start': 253, 'end': 262, 'label': 'SKILL'}, {'start': 264, 'end': 276, 'label': 'SKILL'}]"
"Open-Source Technologies
CI/CD Culture & Tooling
Product Availability & Scalability
Automation (Build & Deploy)
Monitoring & Reliability
Infrastructure Innovation
Software Engineering Velocity
Infrastructure Resiliency
Security & Data Availability",[]
"Application Development
Object-Oriented Design
Collaboration
Problem-Solving
Software Lifecycle
Innovation
Software Testing
System Analysis
Performance Monitoring
Plugin Development
Documentation
Integration Support",[]
"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",[]
"Internal Audit Assistance
Voucher & Bill Verification
Cost Sheet Analysis
L/C Voucher Verification
Expense Verification
Salary & Wages Verification
Market Rate Verification",[]
"Design Review
Coordination
Proposal Preparation
Feasibility Analysis
Software Utilization
Supervision
Technical Support
Submission Review
Progress Reporting
Compliance
Site Visits",[]
"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[]
"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",[]
"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",[]
"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",[]
"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",[]
"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning","[{'start': 163, 'end': 170, 'label': 'SKILL'}]"
"Design Creation
CAD Drawings
Design Optimization
Team Collaboration
Compliance Assurance
Design Reviews
Manufacturing Support
Documentation",[]
"Trade Marketing Executive
Brand Visibility, Sales Targets
Field Marketing, Campaigns, Product Distribution
Brand Head
Excel, KPIs Tracking",[]
"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",[]
"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",[]
"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","[{'start': 216, 'end': 236, 'label': 'SKILL'}]"
"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",[]
"Data Platform Design
Data Pipeline Development
ETL Processes
SQL Query Optimization
Data Integration & Transformation
Data Modeling
Stakeholder Collaboration
Data Quality Monitoring
Continuous Learning",[]
"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance",[]
"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution",[]
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",[]
"Supervision
Monitoring
Construction
Estimation
Planning
Material Management
Project Coordination
Quality Assurance
Cost Control
Inventory
Operations
Safety
Error Escalation
Miscellaneous Tasks




",[]
"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","[{'start': 269, 'end': 276, 'label': 'SKILL'}]"
"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",[]
"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",[]
"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge","[{'start': 160, 'end': 177, 'label': 'SKILL'}]"
"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis","[{'start': 0, 'end': 16, 'label': 'SKILL'}]"
"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",[]
"Recruitment Coordination
Appointment Management
Selection Criteria
Employee Orientation
Performance Evaluation
HR Database Management
Report Compilation
Documentation
Event Coordination
Task Execution","[{'start': 0, 'end': 1, 'label': 'SKILL'}, {'start': 3, 'end': 4, 'label': 'SKILL'}, {'start': 15, 'end': 16, 'label': 'SKILL'}, {'start': 59, 'end': 60, 'label': 'SKILL'}, {'start': 63, 'end': 64, 'label': 'SKILL'}, {'start': 77, 'end': 78, 'label': 'SKILL'}, {'start': 90, 'end': 91, 'label': 'SKILL'}, {'start': 93, 'end': 94, 'label': 'SKILL'}, {'start': 112, 'end': 113, 'label': 'SKILL'}, {'start': 134, 'end': 135, 'label': 'SKILL'}, {'start': 138, 'end': 139, 'label': 'SKILL'}, {'start': 176, 'end': 177, 'label': 'SKILL'}]"
"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",[]
"Digital Marketing Strategy
Brand Awareness, Online Traffic
Social Media Management
Google Analytics
Cross-functional Teams
Campaign Execution, SEO",[]
"Responsible for designing and developing innovative IT solutions. Works with TensorFlow, Kotlin, Cisco Networking, Ansible, Reinforcement Learning to ensure efficiency, security, and performance. Expected to have experience in Network Security, Terraform, Scikit-learn, SCRUM.","[{'start': 77, 'end': 87, 'label': 'SKILL'}, {'start': 89, 'end': 95, 'label': 'SKILL'}, {'start': 97, 'end': 113, 'label': 'SKILL'}, {'start': 115, 'end': 122, 'label': 'SKILL'}, {'start': 124, 'end': 146, 'label': 'SKILL'}, {'start': 227, 'end': 243, 'label': 'SKILL'}, {'start': 245, 'end': 254, 'label': 'SKILL'}, {'start': 256, 'end': 268, 'label': 'SKILL'}, {'start': 270, 'end': 275, 'label': 'SKILL'}]"
"Database Design & Development
SQL Query Optimization
Data Integrity & Security
BI Solutions Development
ETL Process Implementation
Database Maintenance
Backup & Restore Management
Index Rebuilding & Performance Tuning
SQL Server Clustering & High Availability
SQL Server Replication
High Availability Group Management
Database Monitoring & Troubleshooting","[{'start': 30, 'end': 33, 'label': 'SKILL'}, {'start': 104, 'end': 107, 'label': 'SKILL'}, {'start': 218, 'end': 221, 'label': 'SKILL'}, {'start': 260, 'end': 263, 'label': 'SKILL'}]"
"Project Design
Data Analysis
ACCORD/Alliance Knowledge
BNBC Standards
Cost Estimation
Feasibility Studies
Documentation
Compliance
Site Monitoring
Policy Enforcement
Legal Compliance
Data Management
Team Collaboration",[]
"15+ Years Banking Experience
Audit/Inspection/ICC Leadership
Internal Audit & Compliance
Risk-Based Operational Reviews
System-Based Audit Expertise
Knowledge of Bangladeshi Laws",[]
"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality","[{'start': 269, 'end': 276, 'label': 'SKILL'}]"
"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration","[{'start': 10, 'end': 12, 'label': 'SKILL'}]"
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",[]
"Responsible for designing, developing, and maintaining solutions. Works with TCP/IP, Wireless Security, Firewalls, REST APIs, Kubernetes to improve system efficiency and functionality. Expected to have experience in Deep Learning, Design Patterns, Reinforcement Learning.","[{'start': 77, 'end': 83, 'label': 'SKILL'}, {'start': 85, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 113, 'label': 'SKILL'}, {'start': 115, 'end': 124, 'label': 'SKILL'}, {'start': 126, 'end': 136, 'label': 'SKILL'}, {'start': 216, 'end': 229, 'label': 'SKILL'}, {'start': 231, 'end': 246, 'label': 'SKILL'}, {'start': 248, 'end': 270, 'label': 'SKILL'}]"
"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",[]
"Administrative Support
Scheduling
Filing & Documentation
Communication
Team Support
Equipment Maintenance
Information Provision
Inventory Management
Team Collaboration
OHS Policy Development
Safety Advice
Risk Assessment
Policy Review
OHS Training
Safety Inspections
Unsafe Act Prevention
Incident Investigation
Report Preparation",[]
"Responsible for developing and optimizing advanced IT solutions. Works with TensorFlow, Data Warehousing, REST APIs, Cisco Networking, BigQuery to ensure innovation, security, and efficiency. Expected to have experience in Azure, Risk Assessment, Firewalls, NoSQL, C++.","[{'start': 76, 'end': 86, 'label': 'SKILL'}, {'start': 88, 'end': 104, 'label': 'SKILL'}, {'start': 106, 'end': 115, 'label': 'SKILL'}, {'start': 117, 'end': 133, 'label': 'SKILL'}, {'start': 135, 'end': 143, 'label': 'SKILL'}, {'start': 223, 'end': 228, 'label': 'SKILL'}, {'start': 230, 'end': 245, 'label': 'SKILL'}, {'start': 247, 'end': 256, 'label': 'SKILL'}, {'start': 258, 'end': 263, 'label': 'SKILL'}, {'start': 265, 'end': 268, 'label': 'SKILL'}]"
"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",[]
"Generative AI Development
Evolutionary Computation
Deep Learning Optimization
Expert Systems Design
Knowledge Representation
Data Preprocessing
Model Training
Research & Integration",[]
"Machinery Maintenance
Troubleshooting
Report Preparation
Log Maintenance","[{'start': 22, 'end': 37, 'label': 'SKILL'}]"
"Hardware & Network Installation
Troubleshooting & Diagnostics
User Training & Capacity Building
Hardware Replacement
Fault Repair & System Setup
Software License & Account Management
Backup Management
System Updates & Maintenance
Server & Storage Management
Documentation & Technical Specifications
Data Protection & Disaster Recovery
Storage & Database Planning
Power & Disk Backup
Incident Management & Escalation
Service Restoration
User Communication & Verification
Incident Classification & Resolution
Major Incident Escalation
Problem & Error Management
Task Assignment & Execution",[]
