text,entities
"Responsible for designing and developing innovative IT solutions. Works with SQL, MLOps, Deep Learning, Network Security, NoSQL to ensure efficiency, security, and performance. Expected to have experience in Swift, Wireless Security, Data Visualization, JavaScript.","[{'start': 77, 'end': 80, 'label': 'SKILL'}, {'start': 124, 'end': 127, 'label': 'SKILL'}, {'start': 82, 'end': 87, 'label': 'SKILL'}, {'start': 89, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 120, 'label': 'SKILL'}, {'start': 122, 'end': 127, 'label': 'SKILL'}, {'start': 208, 'end': 213, 'label': 'SKILL'}, {'start': 215, 'end': 232, 'label': 'SKILL'}, {'start': 234, 'end': 252, 'label': 'SKILL'}, {'start': 254, 'end': 264, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with TCP/IP, Wireless Security, Agile, SCRUM, SIEM to improve system efficiency and functionality. Expected to have experience in Microservices, MLOps, Kubernetes, SQL, Reinforcement Learning.","[{'start': 77, 'end': 83, 'label': 'SKILL'}, {'start': 85, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 109, 'label': 'SKILL'}, {'start': 111, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 122, 'label': 'SKILL'}, {'start': 202, 'end': 215, 'label': 'SKILL'}, {'start': 217, 'end': 222, 'label': 'SKILL'}, {'start': 224, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 239, 'label': 'SKILL'}, {'start': 241, 'end': 263, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Azure, TCP/IP, Wireless Security, TensorFlow, ETL to enhance system performance and reliability. Expected to have experience in Google Cloud, Docker, Firewalls, MLOps, SQL.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 89, 'label': 'SKILL'}, {'start': 91, 'end': 108, 'label': 'SKILL'}, {'start': 110, 'end': 120, 'label': 'SKILL'}, {'start': 122, 'end': 125, 'label': 'SKILL'}, {'start': 204, 'end': 216, 'label': 'SKILL'}, {'start': 218, 'end': 224, 'label': 'SKILL'}, {'start': 226, 'end': 235, 'label': 'SKILL'}, {'start': 237, 'end': 242, 'label': 'SKILL'}, {'start': 244, 'end': 247, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Azure, Risk Assessment, Encryption, Google Cloud, Docker to enhance system performance and reliability. Expected to have experience in MLOps, C++, CI/CD, BigQuery, Rust.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 98, 'label': 'SKILL'}, {'start': 100, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 124, 'label': 'SKILL'}, {'start': 126, 'end': 132, 'label': 'SKILL'}, {'start': 211, 'end': 216, 'label': 'SKILL'}, {'start': 218, 'end': 221, 'label': 'SKILL'}, {'start': 223, 'end': 228, 'label': 'SKILL'}, {'start': 230, 'end': 238, 'label': 'SKILL'}, {'start': 240, 'end': 244, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Azure, Cisco Networking, Risk Assessment, ETL, Docker to enhance system performance and reliability. Expected to have experience in Network Security, Python, Version Control, Java, Go.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 121, 'label': 'SKILL'}, {'start': 123, 'end': 129, 'label': 'SKILL'}, {'start': 208, 'end': 224, 'label': 'SKILL'}, {'start': 226, 'end': 232, 'label': 'SKILL'}, {'start': 234, 'end': 249, 'label': 'SKILL'}, {'start': 251, 'end': 255, 'label': 'SKILL'}, {'start': 257, 'end': 259, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Encryption, REST APIs, Python, Azure, Routing & Switching to ensure innovation, security, and efficiency. Expected to have experience in Google Cloud, Ansible, Agile, C++.","[{'start': 76, 'end': 86, 'label': 'SKILL'}, {'start': 88, 'end': 97, 'label': 'SKILL'}, {'start': 99, 'end': 105, 'label': 'SKILL'}, {'start': 107, 'end': 112, 'label': 'SKILL'}, {'start': 114, 'end': 133, 'label': 'SKILL'}, {'start': 213, 'end': 225, 'label': 'SKILL'}, {'start': 227, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 241, 'label': 'SKILL'}, {'start': 243, 'end': 246, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with Wireless Security, Data Warehousing, ETL, Swift, Docker to improve system efficiency and functionality. Expected to have experience in C++, Terraform, CI/CD, SQL, NoSQL.","[{'start': 77, 'end': 94, 'label': 'SKILL'}, {'start': 96, 'end': 112, 'label': 'SKILL'}, {'start': 114, 'end': 117, 'label': 'SKILL'}, {'start': 119, 'end': 124, 'label': 'SKILL'}, {'start': 126, 'end': 132, 'label': 'SKILL'}, {'start': 212, 'end': 215, 'label': 'SKILL'}, {'start': 217, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 233, 'label': 'SKILL'}, {'start': 235, 'end': 238, 'label': 'SKILL'}, {'start': 242, 'end': 245, 'label': 'SKILL'}, {'start': 240, 'end': 245, 'label': 'SKILL'}]"
"Responsible for designing and developing innovative IT solutions. Works with Penetration Testing, CI/CD, Data Warehousing, Java, BigQuery to ensure efficiency, security, and performance. Expected to have experience in MLOps, PyTorch, Reinforcement Learning, Design Patterns, Scikit-learn.","[{'start': 77, 'end': 96, 'label': 'SKILL'}, {'start': 98, 'end': 103, 'label': 'SKILL'}, {'start': 105, 'end': 121, 'label': 'SKILL'}, {'start': 123, 'end': 127, 'label': 'SKILL'}, {'start': 129, 'end': 137, 'label': 'SKILL'}, {'start': 218, 'end': 223, 'label': 'SKILL'}, {'start': 225, 'end': 232, 'label': 'SKILL'}, {'start': 234, 'end': 256, 'label': 'SKILL'}, {'start': 258, 'end': 273, 'label': 'SKILL'}, {'start': 275, 'end': 287, 'label': 'SKILL'}]"
"Responsible for designing and developing innovative IT solutions. Works with Rust, Routing & Switching, Azure, MLOps, Design Patterns to ensure efficiency, security, and performance. Expected to have experience in Data Visualization, SCRUM.","[{'start': 77, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 109, 'label': 'SKILL'}, {'start': 111, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 133, 'label': 'SKILL'}, {'start': 214, 'end': 232, 'label': 'SKILL'}, {'start': 234, 'end': 239, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Penetration Testing, Microservices, Network Monitoring, Python, MLOps to ensure innovation, security, and efficiency. Expected to have experience in Google Cloud, Deep Learning, Firewalls, Go, SIEM.","[{'start': 76, 'end': 95, 'label': 'SKILL'}, {'start': 97, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 130, 'label': 'SKILL'}, {'start': 132, 'end': 138, 'label': 'SKILL'}, {'start': 140, 'end': 145, 'label': 'SKILL'}, {'start': 225, 'end': 237, 'label': 'SKILL'}, {'start': 239, 'end': 252, 'label': 'SKILL'}, {'start': 254, 'end': 263, 'label': 'SKILL'}, {'start': 225, 'end': 227, 'label': 'SKILL'}, {'start': 265, 'end': 267, 'label': 'SKILL'}, {'start': 269, 'end': 273, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with CI/CD, Network Monitoring, SQL, Google Cloud, PyTorch to ensure innovation, security, and efficiency. Expected to have experience in Network Security, NoSQL, Go, Swift, Version Control.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 101, 'label': 'SKILL'}, {'start': 103, 'end': 106, 'label': 'SKILL'}, {'start': 229, 'end': 232, 'label': 'SKILL'}, {'start': 108, 'end': 120, 'label': 'SKILL'}, {'start': 122, 'end': 129, 'label': 'SKILL'}, {'start': 209, 'end': 225, 'label': 'SKILL'}, {'start': 227, 'end': 232, 'label': 'SKILL'}, {'start': 108, 'end': 110, 'label': 'SKILL'}, {'start': 234, 'end': 236, 'label': 'SKILL'}, {'start': 238, 'end': 243, 'label': 'SKILL'}, {'start': 245, 'end': 260, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Agile, Data Warehousing, Swift, Routing & Switching, BigQuery to enhance system performance and reliability. Expected to have experience in SIEM, Java, SQL, Kotlin.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 106, 'label': 'SKILL'}, {'start': 108, 'end': 127, 'label': 'SKILL'}, {'start': 129, 'end': 137, 'label': 'SKILL'}, {'start': 216, 'end': 220, 'label': 'SKILL'}, {'start': 222, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 231, 'label': 'SKILL'}, {'start': 233, 'end': 239, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with TCP/IP, Cisco Networking, PyTorch, Network Security, SCRUM to improve system efficiency and functionality. Expected to have experience in Firewalls, SIEM, Version Control, REST APIs, Terraform.","[{'start': 77, 'end': 83, 'label': 'SKILL'}, {'start': 85, 'end': 101, 'label': 'SKILL'}, {'start': 103, 'end': 110, 'label': 'SKILL'}, {'start': 112, 'end': 128, 'label': 'SKILL'}, {'start': 130, 'end': 135, 'label': 'SKILL'}, {'start': 215, 'end': 224, 'label': 'SKILL'}, {'start': 226, 'end': 230, 'label': 'SKILL'}, {'start': 232, 'end': 247, 'label': 'SKILL'}, {'start': 249, 'end': 258, 'label': 'SKILL'}, {'start': 260, 'end': 269, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Azure, Cisco Networking, Risk Assessment, Firewalls, Microservices to enhance system performance and reliability. Expected to have experience in Penetration Testing, Terraform, SQL, Network Monitoring, Go.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 127, 'label': 'SKILL'}, {'start': 129, 'end': 142, 'label': 'SKILL'}, {'start': 221, 'end': 240, 'label': 'SKILL'}, {'start': 242, 'end': 251, 'label': 'SKILL'}, {'start': 253, 'end': 256, 'label': 'SKILL'}, {'start': 258, 'end': 276, 'label': 'SKILL'}, {'start': 278, 'end': 280, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Data Warehousing, Network Monitoring, Java, MLOps, Python to ensure innovation, security, and efficiency. Expected to have experience in Risk Assessment, TCP/IP, Terraform.","[{'start': 76, 'end': 92, 'label': 'SKILL'}, {'start': 94, 'end': 112, 'label': 'SKILL'}, {'start': 114, 'end': 118, 'label': 'SKILL'}, {'start': 120, 'end': 125, 'label': 'SKILL'}, {'start': 127, 'end': 133, 'label': 'SKILL'}, {'start': 213, 'end': 228, 'label': 'SKILL'}, {'start': 230, 'end': 236, 'label': 'SKILL'}, {'start': 238, 'end': 247, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Azure, Encryption, PyTorch, Google Cloud, SIEM to enhance system performance and reliability. Expected to have experience in Data Visualization, Python, Kubernetes, Ansible.","[{'start': 76, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 93, 'label': 'SKILL'}, {'start': 95, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 116, 'label': 'SKILL'}, {'start': 118, 'end': 122, 'label': 'SKILL'}, {'start': 201, 'end': 219, 'label': 'SKILL'}, {'start': 221, 'end': 227, 'label': 'SKILL'}, {'start': 229, 'end': 239, 'label': 'SKILL'}, {'start': 241, 'end': 248, 'label': 'SKILL'}]"
"Responsible for designing and developing innovative IT solutions. Works with Data Warehousing, Network Monitoring, Java, Cisco Networking, Google Cloud to ensure efficiency, security, and performance. Expected to have experience in Agile, Firewalls, SIEM, Go, Version Control.","[{'start': 77, 'end': 93, 'label': 'SKILL'}, {'start': 95, 'end': 113, 'label': 'SKILL'}, {'start': 115, 'end': 119, 'label': 'SKILL'}, {'start': 121, 'end': 137, 'label': 'SKILL'}, {'start': 139, 'end': 151, 'label': 'SKILL'}, {'start': 232, 'end': 237, 'label': 'SKILL'}, {'start': 239, 'end': 248, 'label': 'SKILL'}, {'start': 250, 'end': 254, 'label': 'SKILL'}, {'start': 139, 'end': 141, 'label': 'SKILL'}, {'start': 256, 'end': 258, 'label': 'SKILL'}, {'start': 260, 'end': 275, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Network Monitoring, Java, Kotlin, PyTorch, SIEM to ensure innovation, security, and efficiency. Expected to have experience in Go, C++, Swift, SCRUM.","[{'start': 76, 'end': 94, 'label': 'SKILL'}, {'start': 96, 'end': 100, 'label': 'SKILL'}, {'start': 102, 'end': 108, 'label': 'SKILL'}, {'start': 110, 'end': 117, 'label': 'SKILL'}, {'start': 119, 'end': 123, 'label': 'SKILL'}, {'start': 203, 'end': 205, 'label': 'SKILL'}, {'start': 207, 'end': 210, 'label': 'SKILL'}, {'start': 212, 'end': 217, 'label': 'SKILL'}, {'start': 219, 'end': 224, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Ruby, Encryption, CI/CD, SQL, Kotlin to ensure innovation, security, and efficiency. Expected to have experience in Reinforcement Learning, Kubernetes, Data Visualization, Docker.","[{'start': 76, 'end': 80, 'label': 'SKILL'}, {'start': 82, 'end': 92, 'label': 'SKILL'}, {'start': 94, 'end': 99, 'label': 'SKILL'}, {'start': 101, 'end': 104, 'label': 'SKILL'}, {'start': 106, 'end': 112, 'label': 'SKILL'}, {'start': 192, 'end': 214, 'label': 'SKILL'}, {'start': 216, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 246, 'label': 'SKILL'}, {'start': 248, 'end': 254, 'label': 'SKILL'}]"
"Responsible for developing, optimizing, and securing IT systems. Works with Wireless Security, AWS, C++, Microservices, Ansible to enhance system performance and reliability. Expected to have experience in Deep Learning, CI/CD, Kotlin.","[{'start': 76, 'end': 93, 'label': 'SKILL'}, {'start': 95, 'end': 98, 'label': 'SKILL'}, {'start': 100, 'end': 103, 'label': 'SKILL'}, {'start': 105, 'end': 118, 'label': 'SKILL'}, {'start': 120, 'end': 127, 'label': 'SKILL'}, {'start': 206, 'end': 219, 'label': 'SKILL'}, {'start': 221, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 234, 'label': 'SKILL'}]"
"Responsible for designing and developing innovative IT solutions. Works with TensorFlow, Microservices, BigQuery, Google Cloud, Reinforcement Learning to ensure efficiency, security, and performance. Expected to have experience in ETL, Kubernetes, Go, SCRUM.","[{'start': 77, 'end': 87, 'label': 'SKILL'}, {'start': 89, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 112, 'label': 'SKILL'}, {'start': 114, 'end': 126, 'label': 'SKILL'}, {'start': 128, 'end': 150, 'label': 'SKILL'}, {'start': 231, 'end': 234, 'label': 'SKILL'}, {'start': 236, 'end': 246, 'label': 'SKILL'}, {'start': 114, 'end': 116, 'label': 'SKILL'}, {'start': 248, 'end': 250, 'label': 'SKILL'}, {'start': 252, 'end': 257, 'label': 'SKILL'}]"
"The Search Engine Optimization (SEO) Specialist is responsible for designing, developing, and implementing innovative solutions that meet business needs. This role requires expertise in Python, Java, C++, as well as proficiency in cloud computing, automation, and security best practices. Key expectations include collaborating with cross-functional teams, ensuring system reliability, optimizing performance, and staying ahead of emerging technology trends. Other responsibilities involve troubleshooting issues, improving workflows, documenting processes, and adhering to industry standards to enhance security and efficiency.","[{'start': 186, 'end': 192, 'label': 'SKILL'}, {'start': 194, 'end': 198, 'label': 'SKILL'}, {'start': 200, 'end': 203, 'label': 'SKILL'}]"
"Responsible for developing and optimizing advanced IT solutions. Works with Ruby, Penetration Testing, Java, MLOps, Python to ensure innovation, security, and efficiency. Expected to have experience in Ansible, Reinforcement Learning, C++, Wireless Security, Data Visualization.","[{'start': 76, 'end': 80, 'label': 'SKILL'}, {'start': 82, 'end': 101, 'label': 'SKILL'}, {'start': 103, 'end': 107, 'label': 'SKILL'}, {'start': 109, 'end': 114, 'label': 'SKILL'}, {'start': 116, 'end': 122, 'label': 'SKILL'}, {'start': 202, 'end': 209, 'label': 'SKILL'}, {'start': 211, 'end': 233, 'label': 'SKILL'}, {'start': 235, 'end': 238, 'label': 'SKILL'}, {'start': 240, 'end': 257, 'label': 'SKILL'}, {'start': 259, 'end': 277, 'label': 'SKILL'}]"
"Responsible for designing, developing, and maintaining solutions. Works with Cisco Networking, ETL, Rust, Network Security, Firewalls to improve system efficiency and functionality. Expected to have experience in Microservices, Network Monitoring, Kotlin, Go, Design Patterns.","[{'start': 77, 'end': 93, 'label': 'SKILL'}, {'start': 95, 'end': 98, 'label': 'SKILL'}, {'start': 100, 'end': 104, 'label': 'SKILL'}, {'start': 106, 'end': 122, 'label': 'SKILL'}, {'start': 124, 'end': 133, 'label': 'SKILL'}, {'start': 213, 'end': 226, 'label': 'SKILL'}, {'start': 228, 'end': 246, 'label': 'SKILL'}, {'start': 248, 'end': 254, 'label': 'SKILL'}, {'start': 256, 'end': 258, 'label': 'SKILL'}, {'start': 260, 'end': 275, 'label': 'SKILL'}]"
"Responsible for designing and developing innovative IT solutions. Works with Ruby, Penetration Testing, Microservices, SCRUM, Cisco Networking to ensure efficiency, security, and performance. Expected to have experience in Google Cloud, Deep Learning, Risk Assessment, NoSQL, Version Control.","[{'start': 77, 'end': 81, 'label': 'SKILL'}, {'start': 83, 'end': 102, 'label': 'SKILL'}, {'start': 104, 'end': 117, 'label': 'SKILL'}, {'start': 119, 'end': 124, 'label': 'SKILL'}, {'start': 126, 'end': 142, 'label': 'SKILL'}, {'start': 223, 'end': 235, 'label': 'SKILL'}, {'start': 237, 'end': 250, 'label': 'SKILL'}, {'start': 252, 'end': 267, 'label': 'SKILL'}, {'start': 269, 'end': 274, 'label': 'SKILL'}, {'start': 276, 'end': 291, 'label': 'SKILL'}]"
